# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       7.138223828473e-03       7.586042366826e+03      -3.927001858501e-01      -2.545993280249e+00      -1.565477301880e-01      -2.540923813385e-01      -1.352318527728e+01       1.418092842556e+00      -2.492614043064e+01 
       7.262387175144e-03       7.664659168207e+03      -4.106774940125e-01      -2.627276125374e+00      -1.519822656291e-01      -2.708803764686e-01      -1.397376157705e+01       1.500489483246e+00      -2.603438841728e+01 
       7.386639671820e-03       7.741802156191e+03      -4.291107446102e-01      -2.709917982112e+00      -1.467540044182e-01      -2.884387628443e-01      -1.443096269822e+01       1.585928052363e+00      -2.716849307709e+01 
       7.510977620572e-03       7.817475830064e+03      -4.479998388730e-01      -2.793915065207e+00      -1.408409976648e-01      -3.067859211293e-01      -1.489472669975e+01       1.674446359050e+00      -2.832832704293e+01 
       7.635397566081e-03       7.891700342250e+03      -4.673450689452e-01      -2.879263640283e+00      -1.342216353321e-01      -3.259399908799e-01      -1.536499146506e+01       1.766079607656e+00      -2.951378802700e+01 
       7.759896277901e-03       7.964496938113e+03      -4.871467347138e-01      -2.965959987603e+00      -1.268743056328e-01      -3.459191174746e-01      -1.584169488633e+01       1.860862861982e+00      -3.072477407979e+01 
       7.884470734249e-03       8.035886840390e+03      -5.074050975846e-01      -3.054000287174e+00      -1.187773808994e-01      -3.667414446968e-01      -1.632477426395e+01       1.958831042445e+00      -3.196118066908e+01 
       8.009118107195e-03       8.105886565137e+03      -5.281199184805e-01      -3.143380787192e+00      -1.099094933346e-01      -3.884248925545e-01      -1.681416694927e+01       2.060016785332e+00      -3.322287217979e+01 
       8.133835749101e-03       8.174505393454e+03      -5.492902325717e-01      -3.234097650955e+00      -1.002496390222e-01      -4.109870402578e-01      -1.730980942246e+01       2.164449428844e+00      -3.450966797073e+01 
       8.258621180198e-03       8.241752794970e+03      -5.709150428910e-01      -3.326147232559e+00      -8.977683432190e-02      -4.344454786928e-01      -1.781163910858e+01       2.272158164241e+00      -3.582138528505e+01 
       8.383472077199e-03       8.307638081245e+03      -5.929933162367e-01      -3.419525738237e+00      -7.847007323627e-02      -4.588177940648e-01      -1.831959259418e+01       2.383172056278e+00      -3.715783893875e+01 
       8.508386262837e-03       8.372171180007e+03      -6.155239310412e-01      -3.514229412040e+00      -6.630850054012e-02      -4.841214478412e-01      -1.883360654882e+01       2.497519238722e+00      -3.851883863512e+01 
       8.633361696262e-03       8.435363645164e+03      -6.385053919566e-01      -3.610254526009e+00      -5.327197105043e-02      -5.103732920357e-01      -1.935361742782e+01       2.615223766537e+00      -3.990417300845e+01 
       8.758396464208e-03       8.497227581584e+03      -6.619360924658e-01      -3.707597351065e+00      -3.934052339030e-02      -5.375900193097e-01      -1.987956154707e+01       2.736308549509e+00      -4.131362427557e+01 
       8.883488772857e-03       8.557775317447e+03      -6.858144208792e-01      -3.806254182777e+00      -2.449418168557e-02      -5.657883381519e-01      -2.041137530858e+01       2.860796487966e+00      -4.274697419684e+01 
       9.008636940352e-03       8.617019325794e+03      -7.101387544622e-01      -3.906221313209e+00      -8.712958597072e-03      -5.949849657958e-01      -2.094899504901e+01       2.988710436256e+00      -4.420400372709e+01 
       9.133839389889e-03       8.674972320429e+03      -7.349073005101e-01      -4.007495049487e+00       8.022763074037e-03      -6.251962766287e-01      -2.149235705520e+01       3.120071156485e+00      -4.568448477559e+01 
       9.259094643344e-03       8.731647310199e+03      -7.601179590806e-01      -4.110071717844e+00       2.573190545840e-02      -6.564380014553e-01      -2.204139751417e+01       3.254895569446e+00      -4.718817306700e+01 
       9.384401315392e-03       8.787057530702e+03      -7.857685975559e-01      -4.213947687511e+00       4.443332883689e-02      -6.887258187871e-01      -2.259605278081e+01       3.393200192821e+00      -4.871482249890e+01 
       9.509758108064e-03       8.841216295380e+03      -8.118570729556e-01      -4.319119312228e+00       6.414590836073e-02      -7.220754169763e-01      -2.315625908083e+01       3.535001511109e+00      -5.026418620185e+01 
       9.635163805723e-03       8.894137314172e+03      -8.383812613034e-01      -4.425583094854e+00       8.488853373078e-02      -7.565025188017e-01      -2.372195339299e+01       3.680316097775e+00      -5.183601837473e+01 
       9.760617270406e-03       8.945832511742e+03      -8.653386853501e-01      -4.533335081537e+00       1.066796230730e-01      -7.920223406146e-01      -2.429307019860e+01       3.829158086389e+00      -5.343005346994e+01 
       9.886117437517e-03       8.996313472391e+03      -8.927264921545e-01      -4.642372031442e+00       1.295366994921e-01      -8.286493777855e-01      -2.486954774871e+01       3.981538224383e+00      -5.504600689451e+01 
       1.001166331183e-02       9.045590906250e+03      -9.205416952008e-01      -4.752690340137e+00       1.534771867322e-01      -8.663979781061e-01      -2.545132229710e+01       4.137466486033e+00      -5.668358617085e+01 
       1.013725396381e-02       9.093675630438e+03      -9.487813037616e-01      -4.864286418788e+00       1.785185244196e-01      -9.052825037161e-01      -2.603833013350e+01       4.296952839628e+00      -5.834249844675e+01 
       1.026288852613e-02       9.140578732618e+03      -9.774423416343e-01      -4.977156787166e+00       2.046781708433e-01      -9.453173495562e-01      -2.663050808060e+01       4.460007334650e+00      -6.002245164356e+01 
       1.038856619052e-02       9.186311415884e+03      -1.006521772420e+00      -5.091297973640e+00       2.319734050892e-01      -9.865167390533e-01      -2.722779299021e+01       4.626639254549e+00      -6.172315093062e+01 
